Profile Results
Model: AlphaZeroNet_20x256_distributed.pt
Rollouts: 500
Threads: 10
Stats: {'total_nodes': 5001.0, 'elapsed': 8.119580541000001, 'nps': 615.9185163257314, 'duplicate_paths': 15}

         10467934 function calls (10307614 primitive calls) in 8.119 seconds

   Ordered by: cumulative time
   List reduced from 205 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7988    0.007    0.000    0.085    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:3858(copy)
    17196    0.029    0.000    0.065    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:3738(generate_castling_moves)
     7988    0.004    0.000    0.057    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:3877(<listcomp>)
      501    0.002    0.000    0.054    0.000 /Users/rishisachdev/Documents/GitHub/pytorch-alpha-zero/AlphaZeroNetwork.py:124(forward)
      501    0.001    0.000    0.053    0.000 /Users/rishisachdev/Documents/GitHub/pytorch-alpha-zero/AlphaZeroNetwork.py:22(forward)
    27368    0.019    0.000    0.053    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py:66(copy)
   222945    0.045    0.000    0.045    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/torch/nn/modules/module.py:1927(__getattr__)
   905697    0.042    0.000    0.042    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:262(square_rank)
   117846    0.041    0.000    0.041    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:875(attacks_mask)
    77993    0.024    0.000    0.040    0.000 /Users/rishisachdev/Documents/GitHub/pytorch-alpha-zero/encoder.py:225(mirrorMove)
   855530    0.037    0.000    0.037    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:258(square_file)
     1503    0.001    0.000    0.037    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/torch/nn/modules/linear.py:124(forward)
    43695    0.035    0.000    0.035    0.000 /Users/rishisachdev/Library/Python/3.9/lib/python/site-packages/chess/__init__.py:905(attackers_mask)
     1503    0.035    0.000    0.035    0.000 {built-in method torch._C._nn.linear}


